                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     80,                 0.2951,                0.11516,                      0,                0.20853,                0.82958,                0.98158,                0.94815,                0.97837,                0.84456,                0.97688,                0.94552,                0.97311,                0.90809,                0.64318,                0.33361,                      0,                0.35856,                0.99398,             0.00011387,             0.00011387,             0.00011387
                     81,                0.29256,                0.12008,                      0,                0.20546,                0.82606,                0.97836,                0.95336,                0.98006,                0.84685,                0.97475,                0.94991,                0.97456,                0.91053,                0.64234,                0.32833,                      0,                0.35477,                0.99215,             0.00010454,             0.00010454,             0.00010454
                     82,                0.29702,                0.10984,                      0,                 0.2103,                0.82315,                0.97789,                0.95217,                0.98012,                0.84919,                0.97119,                0.94793,                0.97214,                0.90968,                0.64172,                  0.331,                      0,                0.35569,                0.99289,             9.5595e-05,             9.5595e-05,             9.5595e-05
                     83,                0.29492,                0.10268,                      0,                  0.201,                0.81891,                0.97626,                0.95606,                 0.9796,                 0.8481,                0.97085,                0.95114,                0.97276,                0.90917,                0.64191,                0.33261,                      0,                0.35625,                 0.9918,             8.7058e-05,             8.7058e-05,             8.7058e-05
                     84,                0.28737,                0.11438,                      0,                0.20047,                0.81906,                0.98276,                0.95162,                0.98032,                0.84818,                0.97779,                0.94766,                0.97447,                0.90817,                0.64323,                0.33493,                      0,                0.34899,                0.99646,             7.8933e-05,             7.8933e-05,             7.8933e-05
                     85,                0.28372,                0.11115,                      0,                0.19864,                0.81874,                0.97832,                0.95159,                0.98009,                0.84845,                 0.9738,                0.94719,                0.97253,                0.90657,                0.64433,                0.33966,                      0,                0.35371,                0.99776,             7.1228e-05,             7.1228e-05,             7.1228e-05
                     86,                0.28507,                0.13255,                      0,                0.20118,                0.81579,                0.98359,                0.94808,                0.97942,                0.85076,                0.97613,                0.94288,                0.96907,                0.90941,                0.64248,                0.33733,                      0,                0.35596,                0.99721,             6.3952e-05,             6.3952e-05,             6.3952e-05
                     87,                 0.2841,                0.11929,                      0,                0.20233,                0.81997,                0.98331,                0.94815,                0.97892,                0.84934,                0.97591,                0.94317,                0.97051,                0.91005,                0.64066,                0.33213,                      0,                0.35377,                0.99416,             5.7111e-05,             5.7111e-05,             5.7111e-05
                     88,                0.28222,                0.10665,                      0,                0.19728,                0.81348,                0.98236,                0.94815,                0.97965,                0.84812,                0.97727,                0.94455,                0.97002,                0.90849,                 0.6434,                0.33116,                      0,                0.35203,                0.99594,             5.0711e-05,             5.0711e-05,             5.0711e-05
                     89,                0.28488,                 0.0985,                      0,                0.20002,                0.81431,                0.98404,                 0.9482,                0.98097,                0.85072,                0.97698,                0.94376,                0.97233,                0.91111,                0.64213,                0.32931,                      0,                 0.3488,                0.99524,             4.4761e-05,             4.4761e-05,             4.4761e-05
                     90,                0.28333,                0.11703,                      0,                0.19632,                0.81425,                0.98548,                0.94728,                0.98019,                0.84959,                0.97922,                0.94156,                0.97168,                0.90915,                0.64226,                0.33111,                      0,                0.35085,                0.99545,             3.9264e-05,             3.9264e-05,             3.9264e-05
                     91,                 0.2818,                0.10977,                      0,                0.19535,                0.81441,                0.98535,                0.94772,                0.98003,                0.84875,                0.97936,                0.94288,                0.97309,                0.90797,                0.64209,                0.33165,                      0,                0.34904,                0.99475,             3.4227e-05,             3.4227e-05,             3.4227e-05
                     92,                0.28227,                0.09907,                      0,                0.19726,                 0.8154,                0.98297,                0.94728,                0.97992,                0.84845,                0.97679,                0.94156,                0.97071,                0.90757,                  0.643,                0.33359,                      0,                 0.3523,                0.99269,             2.9655e-05,             2.9655e-05,             2.9655e-05
                     93,                0.27525,                0.11044,                      0,                0.19412,                0.81051,                0.97958,                0.94824,                0.97839,                 0.8472,                0.97415,                0.94382,                0.97063,                0.90637,                0.64323,                0.33142,                      0,                0.35323,                 0.9942,             2.5551e-05,             2.5551e-05,             2.5551e-05
                     94,                0.29038,                0.12224,                      0,                0.19858,                0.81955,                0.98091,                 0.9481,                0.97827,                0.84616,                0.97502,                0.94314,                0.96992,                0.90616,                0.64413,                0.33275,                      0,                0.35248,                0.99532,             2.1921e-05,             2.1921e-05,             2.1921e-05
                     95,                0.27175,                0.09034,                      0,                0.18939,                 0.8107,                0.98222,                0.94687,                0.97776,                 0.8466,                0.97451,                0.94156,                0.96745,                0.90634,                0.64366,                0.33596,                      0,                0.35385,                0.99509,             1.8768e-05,             1.8768e-05,             1.8768e-05
                     96,                0.27453,                0.10833,                      0,                  0.193,                0.81483,                0.98243,                0.94684,                0.97849,                0.84743,                0.97455,                0.94209,                0.96898,                0.90521,                0.64283,                0.33589,                      0,                0.35178,                 0.9947,             1.6094e-05,             1.6094e-05,             1.6094e-05
                     97,                0.27476,                0.10042,                      0,                0.19545,                0.81602,                0.98184,                0.94728,                0.97834,                0.84802,                0.97496,                0.94088,                0.96809,                0.90585,                0.64195,                0.33715,                      0,                0.35037,                0.99507,             1.3903e-05,             1.3903e-05,             1.3903e-05
