                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     60,                0.37071,                0.06406,                0.02839,                0.25723,                0.83618,                 0.9741,                0.85633,                0.92072,                0.76163,                0.95424,                0.84091,                0.88931,                0.82597,                0.76897,                0.45072,                0.00632,                0.55147,                 1.0681,             0.00080839,             0.00080839,             0.00080839
                     61,                0.35542,                0.07841,                0.02208,                0.24806,                0.83595,                0.96619,                0.85939,                0.93027,                0.77105,                0.95017,                0.84489,                0.90147,                0.84692,                0.78244,                0.41578,                0.00455,                0.54376,                 1.0776,             0.00080221,             0.00080221,             0.00080221
                     62,                0.35657,                0.08149,                0.02273,                0.24856,                 0.8378,                0.97786,                0.84191,                0.91859,                 0.7712,                 0.9597,                0.82872,                0.89443,                0.83786,                0.75134,                0.41073,                0.00632,                0.59962,                 1.0555,             0.00079595,             0.00079595,             0.00079595
                     63,                0.36002,                0.06301,                 0.0219,                0.25377,                0.83713,                0.97365,                0.85404,                0.92816,                0.76376,                0.95286,                0.83768,                0.89431,                0.82551,                0.78438,                0.46164,                0.00611,                0.53337,                 1.0896,             0.00078963,             0.00078963,             0.00078963
                     64,                0.34951,                0.08753,                0.02769,                0.25035,                0.83632,                 0.9644,                0.85523,                0.92766,                0.77359,                 0.9493,                0.84236,                0.90371,                 0.8434,                0.76833,                0.43065,                0.00587,                0.57461,                 1.0711,             0.00078323,             0.00078323,             0.00078323
                     65,                0.34855,                0.06754,                 0.0224,                0.24696,                0.83485,                0.97542,                0.84836,                 0.9199,                0.76336,                0.95856,                0.83495,                 0.8928,                 0.8308,                0.76167,                0.42817,                0.00578,                0.55528,                 1.0687,             0.00077677,             0.00077677,             0.00077677
                     66,                0.35147,                0.07917,                 0.0228,                0.24678,                0.83243,                0.97125,                0.84241,                0.92349,                0.77377,                0.95993,                0.82174,                 0.8951,                0.83742,                0.75256,                0.43131,                0.00798,                0.56684,                 1.0646,             0.00077023,             0.00077023,             0.00077023
                     67,                0.34874,                0.08164,                0.02243,                0.24078,                0.83244,                0.97056,                0.85334,                0.92305,                 0.7749,                0.95111,                0.83644,                 0.8914,                0.83522,                 0.7512,                0.42126,                 0.0057,                0.55065,                  1.068,             0.00076364,             0.00076364,             0.00076364
                     68,                0.35565,                0.08328,                0.02232,                 0.2413,                0.82916,                0.97239,                0.83893,                0.91097,                0.75921,                0.95664,                0.82501,                0.88445,                0.83103,                0.77242,                0.41912,                0.00586,                0.61696,                 1.0636,             0.00075698,             0.00075698,             0.00075698
                     69,                0.33839,                0.08112,                0.03102,                0.23743,                 0.8242,                0.97188,                  0.842,                0.91422,                0.76562,                0.95237,                 0.8251,                0.88326,                0.82896,                0.74942,                0.42522,                0.00839,                0.57406,                 1.0545,             0.00075025,             0.00075025,             0.00075025
                     70,                0.34377,                0.07031,                0.01929,                0.23859,                0.82895,                0.96893,                 0.8528,                0.92626,                0.77198,                0.95085,                0.83672,                0.89738,                0.83537,                0.74932,                0.42198,                0.00495,                 0.5184,                 1.0593,             0.00074347,             0.00074347,             0.00074347
                     71,                0.35179,                0.07082,                0.02392,                0.24049,                0.83164,                 0.9767,                0.86501,                0.93111,                  0.782,                0.95176,                0.84345,                0.89415,                 0.8362,                0.74224,                0.42955,                0.00513,                0.53349,                 1.0515,             0.00073663,             0.00073663,             0.00073663
                     72,                0.33615,                0.06505,                0.02297,                0.24011,                0.82697,                0.96644,                0.85907,                0.92752,                0.78038,                0.94674,                0.84395,                0.89852,                0.84455,                0.75098,                0.41875,                0.00591,                 0.5462,                 1.0635,             0.00072973,             0.00072973,             0.00072973
                     73,                0.33536,                0.07638,                0.02359,                 0.2357,                0.83119,                0.97448,                0.84492,                0.92477,                0.77752,                  0.957,                0.82975,                 0.8979,                0.84917,                0.75058,                0.41355,                 0.0071,                0.58166,                 1.0552,             0.00072277,             0.00072277,             0.00072277
                     74,                0.33131,                0.07008,                0.02365,                 0.2374,                0.82911,                 0.9727,                0.84787,                0.92417,                0.76886,                0.95236,                0.83478,                0.89554,                0.83537,                0.76702,                0.41892,                0.00527,                0.56149,                   1.07,             0.00071576,             0.00071576,             0.00071576
                     75,                0.33828,                0.06116,                0.02091,                0.23593,                0.83393,                0.96995,                0.86801,                0.93446,                0.78448,                0.95171,                0.85235,                0.90359,                0.85045,                 0.7524,                0.41062,                0.00555,                0.54051,                 1.0513,              0.0007087,              0.0007087,              0.0007087
                     76,                  0.333,                0.06744,                0.01956,                0.23044,                0.82568,                0.97195,                0.87074,                0.93147,                0.77905,                0.95187,                0.85285,                0.89776,                 0.8328,                0.73753,                0.44249,                0.00569,                0.48634,                 1.0554,             0.00070159,             0.00070159,             0.00070159
                     77,                0.33386,                0.07992,                0.02058,                0.23327,                0.82832,                0.98189,                0.82209,                0.91527,                0.76738,                0.94546,                0.82426,                0.89034,                0.83262,                0.74965,                0.42445,                0.00522,                0.59334,                 1.0526,             0.00069443,             0.00069443,             0.00069443
                     78,                0.33767,                0.06156,                0.02077,                0.23271,                0.83205,                0.95548,                0.85892,                0.92804,                0.77858,                0.93553,                0.84044,                0.89503,                0.84514,                0.74756,                0.41208,                0.00472,                 0.5483,                 1.0619,             0.00068722,             0.00068722,             0.00068722
                     79,                 0.3339,                0.07129,                0.02865,                0.23538,                0.83228,                0.97512,                0.84749,                0.93203,                0.78486,                0.95296,                0.82799,                0.89955,                0.85177,                0.74644,                0.40865,                0.00479,                0.54415,                   1.06,             0.00067997,             0.00067997,             0.00067997
                     80,                0.33255,                0.06597,                 0.0247,                0.22982,                0.82661,                0.96787,                 0.8611,                0.93447,                 0.7901,                0.95134,                0.84552,                0.90503,                0.85681,                0.73304,                0.39883,                0.00557,                0.54355,                  1.049,             0.00067268,             0.00067268,             0.00067268
                     81,                0.32657,                0.07072,                0.01619,                0.22711,                0.82311,                0.97019,                0.85745,                0.93058,                0.78786,                0.94818,                0.83843,                0.89798,                0.84815,                0.72565,                0.41839,                0.00678,                 0.5318,                 1.0467,             0.00066534,             0.00066534,             0.00066534
                     82,                0.33416,                0.06727,                0.02372,                0.22822,                0.82562,                0.97239,                0.86652,                0.93465,                0.78699,                0.95286,                0.84912,                 0.9054,                0.85644,                0.73769,                0.41006,                0.00619,                0.52817,                 1.0514,             0.00065796,             0.00065796,             0.00065796
                     83,                0.32606,                0.05396,                0.02285,                0.22931,                0.82737,                0.98265,                0.84476,                0.92364,                0.77635,                0.95704,                0.83616,                0.89431,                0.84383,                0.74179,                0.39584,                0.00526,                0.54838,                 1.0551,             0.00065055,             0.00065055,             0.00065055
                     84,                0.32944,                0.05965,                0.01852,                0.22686,                0.82339,                0.97782,                0.84361,                0.92528,                 0.7782,                0.95563,                0.82442,                0.89174,                0.83866,                0.74206,                0.41048,                  0.005,                 0.5399,                 1.0533,              0.0006431,              0.0006431,              0.0006431
                     85,                0.31986,                0.06407,                0.01687,                0.21934,                0.82425,                0.97472,                0.83992,                  0.926,                0.78378,                0.94777,                0.82625,                0.89721,                0.84793,                0.73187,                0.41443,                0.00572,                0.56458,                 1.0491,             0.00063562,             0.00063562,             0.00063562
                     86,                0.32065,                0.07366,                0.02296,                0.22388,                0.82182,                0.96694,                0.85798,                0.93833,                0.79121,                0.94737,                0.84638,                0.91122,                0.85975,                0.74586,                0.39801,                 0.0054,                0.51274,                 1.0541,              0.0006281,              0.0006281,              0.0006281
                     87,                0.31892,                0.05845,                0.01932,                0.22277,                0.81923,                0.96962,                0.85681,                0.93784,                0.79113,                0.95253,                 0.8429,                0.91068,                0.85892,                0.74146,                0.40071,                0.00422,                0.53089,                 1.0496,             0.00062056,             0.00062056,             0.00062056
                     88,                0.30935,                 0.0753,                0.02226,                0.21564,                0.82016,                0.95967,                0.84763,                0.92693,                0.77829,                0.94503,                 0.8347,                0.90295,                0.84893,                0.75903,                0.38876,                0.00488,                0.57298,                 1.0609,             0.00061298,             0.00061298,             0.00061298
