                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     93,                0.31947,                 0.2119,                0.82063,                0.96006,                0.83942,                0.91798,                0.76889,                0.76223,                0.62374,                 1.0585,             0.00057475,             0.00057475,             0.00057475
                     94,                0.31882,                 0.2159,                0.82238,                0.95832,                 0.8429,                 0.9195,                0.77167,                0.74855,                0.59659,                 1.0539,             0.00056704,             0.00056704,             0.00056704
                     95,                0.32062,                 0.2125,                0.81595,                0.97001,                0.85086,                0.92786,                0.78374,                0.74967,                0.57681,                 1.0507,             0.00055932,             0.00055932,             0.00055932
                     96,                0.31805,                0.21163,                0.81853,                0.96792,                0.84749,                0.92385,                0.77964,                0.74406,                0.57795,                 1.0457,             0.00055158,             0.00055158,             0.00055158
                     97,                0.30892,                0.20556,                0.81007,                0.96211,                 0.8516,                0.92575,                0.77862,                0.74697,                0.56249,                 1.0498,             0.00054384,             0.00054384,             0.00054384
                     98,                0.31808,                0.20955,                0.81746,                0.96435,                 0.8429,                 0.9215,                0.77343,                0.74155,                0.55084,                 1.0468,             0.00053608,             0.00053608,             0.00053608
                     99,                0.31199,                0.21052,                0.82082,                0.96136,                0.85309,                0.92561,                 0.7779,                0.74591,                0.55716,                 1.0492,             0.00052832,             0.00052832,             0.00052832
                    100,                0.31382,                0.21266,                0.81833,                 0.9584,                0.85856,                0.92756,                0.78067,                0.74236,                0.54507,                 1.0503,             0.00052055,             0.00052055,             0.00052055
                    101,                0.30139,                0.20247,                 0.8146,                0.95579,                0.85978,                0.92671,                0.77921,                0.73776,                 0.5432,                 1.0503,             0.00051278,             0.00051278,             0.00051278
                    102,                0.30638,                0.20481,                0.81911,                0.95788,                0.85061,                0.92587,                0.77991,                0.74115,                0.57599,                 1.0518,               0.000505,               0.000505,               0.000505
                    103,                0.30857,                0.20212,                0.81577,                0.95748,                0.84514,                0.92314,                0.77812,                0.74089,                 0.5812,                 1.0498,             0.00049722,             0.00049722,             0.00049722
                    104,                0.30638,                0.20607,                0.80983,                0.95939,                0.84986,                0.92534,                0.77797,                0.73912,                0.56627,                 1.0491,             0.00048945,             0.00048945,             0.00048945
                    105,                0.29617,                0.19985,                0.81289,                0.95813,                 0.8521,                0.92449,                0.77706,                 0.7439,                0.56588,                 1.0515,             0.00048168,             0.00048168,             0.00048168
                    106,                0.30137,                0.20089,                0.81166,                 0.9612,                0.84937,                0.92144,                0.77226,                0.74072,                0.55573,                  1.049,             0.00047392,             0.00047392,             0.00047392
                    107,                0.30541,                0.20254,                0.81311,                0.96354,                0.84862,                0.91717,                0.76691,                0.73989,                0.55968,                 1.0527,             0.00046616,             0.00046616,             0.00046616
                    108,                0.30353,                0.20116,                0.82165,                0.97058,                0.84474,                0.91732,                0.76727,                0.74188,                0.56348,                 1.0544,             0.00045842,             0.00045842,             0.00045842
                    109,                0.29364,                0.20061,                0.81761,                0.97638,                0.83818,                0.91601,                0.76427,                 0.7447,                0.56697,                  1.055,             0.00045068,             0.00045068,             0.00045068
                    110,                0.29925,                0.20209,                0.81288,                0.96063,                0.84901,                0.91829,                 0.7678,                0.74191,                0.56598,                 1.0543,             0.00044296,             0.00044296,             0.00044296
                    111,                0.29866,                0.19559,                0.81356,                 0.9658,                0.84663,                0.92029,                0.77397,                0.73669,                0.56955,                 1.0524,             0.00043525,             0.00043525,             0.00043525
